im:name/label,rights/label,im:price/label,im:price/attributes/amount,im:price/attributes/currency,im:image/0/label,im:image/0/attributes/height,im:image/1/label,im:image/1/attributes/height,im:image/2/label,im:image/2/attributes/height,im:artist/label,im:artist/attributes/href,title/label,link/0/attributes/rel,link/0/attributes/type,link/0/attributes/href,id/label,id/attributes/im:id,id/attributes/im:bundleId,im:contentType/attributes/term,im:contentType/attributes/label,category/attributes/im:id,category/attributes/term,category/attributes/scheme,category/attributes/label,im:releaseDate/label,im:releaseDate/attributes/label,author/uri/label,author/name/label,author/label,im:version/label,im:rating/label,content/label,content/attributes/type,im:voteSum/label,im:voteCount/label
WeChat,© Tencent Inc.,Get,0.00000,CNY,http://is2.mzstatic.com/image/thumb/Purple71/v4/3c/45/4c/3c454c06-e8fc-fd0c-1c66-28eb87bf8800/mzl.djtzotfw.png/53x53bb-85.png,53,http://is1.mzstatic.com/image/thumb/Purple71/v4/3c/45/4c/3c454c06-e8fc-fd0c-1c66-28eb87bf8800/mzl.djtzotfw.png/75x75bb-85.png,75,http://is2.mzstatic.com/image/thumb/Purple71/v4/3c/45/4c/3c454c06-e8fc-fd0c-1c66-28eb87bf8800/mzl.djtzotfw.png/100x100bb-85.png,100,WeChat,https://itunes.apple.com/cn/developer/wechat/id614694882?l=en&mt=8&uo=2,WeChat - WeChat,alternate,text/html,https://itunes.apple.com/cn/app/wechat/id414478124?l=en&mt=8&uo=2,https://itunes.apple.com/cn/app/wechat/id414478124?l=en&mt=8&uo=2,414478124,com.tencent.xin,Application,Application,6005,Social Networking,https://itunes.apple.com/cn/genre/ios-social-networking/id6005?l=en&mt=8&uo=2,Social Networking,2011-01-20T17:32:15-07:00,20 January 2011,,,,,,,,,
,,,,,,,,,,,,,收藏的小视频不能发送,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488356966,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id480537349?l=en,，，。。。？,,6.3.31,1,收藏的小视频不能分享给好友,text,0,0
,,,,,,,,,,,,,ios10,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488355234,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id443444887?l=en,xss小柠檬,,6.3.31,5,ios10系统什么时候能支持快捷回复？,text,0,0
,,,,,,,,,,,,,就是连接不上,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488350050,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id453291531?l=en,ZhuChen11111111111,,6.3.31,1,微信最近怎么了。。。网络正常，就是一直连接中，卸载重装也没用，关机重启才能正常连接，过段时间又不可以了，无论是WiFi还是流量都有同样的问题，耽误事,text,0,0
,,,,,,,,,,,,,键盘概率性不收回,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488347229,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id510236526?l=en,芝麻爱上酱,,6.3.31,4,在和朋友聊完天，返回到微信列表，键盘仍然在，也不知道怎么让它消失，只能重启微信,text,0,0
,,,,,,,,,,,,,为什么在其他界面不能直接回复了,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488344655,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id406237416?l=en,更何况更丰富的呃呃天堂,,6.3.31,1,在其他界面不能直接回复了，一点都不方便啊,text,0,0
,,,,,,,,,,,,,不能快捷回复了,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488343470,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id304973263?l=en,啊旧时光qazpln,,6.3.31,3,iOS 10更新以后，微信通知不能快捷回复了，求改进！！！,text,0,0
,,,,,,,,,,,,,消息收不到,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488339515,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id535688547?l=en,@理想,,6.3.31,1,朋友发消息收不到，打开才更新，微信越来越垃圾了,text,0,0
,,,,,,,,,,,,,微信加入最后在线时间和已读功能,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488337261,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id453271560?l=en,Nxsry,,6.3.31,4,微信如果可以加入看到对方什么时候最后一次在线或者在活跃期间也挺好的 已读功能也可以有!,text,0,0
,,,,,,,,,,,,,6.3.31这个版本微信小程序网络请求有问题,related,,https://itunes.apple.com/cn/review?id=414478124&l=en&type=Purple%20Software,1488335616,,,Application,Application,,,,,,,https://itunes.apple.com/cn/reviews/id288034544?l=en,minggo8en,,6.3.31,1,6.3.27版测试没网络请求问题，安卓版本也没问题，这个版本有问题！,text,0,0
